vn5wn0cf0cn0st300500p1:5000,Average,Median,Average runtime,vn5wn0cf0cn0st300500p1_0,vn5wn0cf0cn0st300500p1_1,vn5wn0cf0cn0st300500p1_2,vn5wn0cf0cn0st300500p1_3,vn5wn0cf0cn0st300500p1_4,vn5wn0cf0cn0st300500p1_5,vn5wn0cf0cn0st300500p1_6,vn5wn0cf0cn0st300500p1_7,vn5wn0cf0cn0st300500p1_8,vn5wn0cf0cn0st300500p1_9,vn5wn0cf0cn0st300500p1_10,vn5wn0cf0cn0st300500p1_11,vn5wn0cf0cn0st300500p1_12,vn5wn0cf0cn0st300500p1_13,vn5wn0cf0cn0st300500p1_14,vn5wn0cf0cn0st300500p1_15,vn5wn0cf0cn0st300500p1_16,vn5wn0cf0cn0st300500p1_17,vn5wn0cf0cn0st300500p1_18,vn5wn0cf0cn0st300500p1_19,vn5wn0cf0cn0st300500p1_20,vn5wn0cf0cn0st300500p1_21,vn5wn0cf0cn0st300500p1_22,vn5wn0cf0cn0st300500p1_23,vn5wn0cf0cn0st300500p1_24,vn5wn0cf0cn0st300500p1_25,vn5wn0cf0cn0st300500p1_26,vn5wn0cf0cn0st300500p1_27,vn5wn0cf0cn0st300500p1_28,vn5wn0cf0cn0st300500p1_29
Entropy,,,,1.0,0.8277293767706428,0.8277293767706428,1.0,1.0,1.0,0.8277293767706428,0.8277293767706428,0.8277293767706428,1.0,1.0,1.0,1.0,1.0,0.8277293767706428,0.8277293767706428,1.0,1.0,1.0,1.0,0.8277293767706428,0.8277293767706428,0.8277293767706428,1.0,1.0,0.8277293767706428,0.8277293767706428,0.8277293767706428,1.0,1.0
p_sd,,,,0.029393876913398145,0.02400000000000002,0.014966629547095779,0.032,0.008000000000000007,0.029933259094191537,0.02039607805437116,0.012649110640673528,0.023999999999999997,0.02400000000000002,0.028284271247461912,0.01959591794226544,0.03346640106136304,0.023323807579381208,0.027129319932501075,0.027129319932501075,0.025298221281347056,0.02529822128134704,0.00979795897113272,0.02039607805437116,0.0348711915483254,0.01959591794226542,0.03666060555964673,0.027129319932501075,0.00979795897113272,0.023323807579381222,0.032496153618543855,0.023999999999999997,0.009797958971132694,0.023323807579381222
st_sd,,,,89.21883209278185,110.70682002478438,67.34983296193094,131.6662447250623,106.47065323364932,155.56349186104046,133.92535234226565,164.51139778143033,169.51696080333673,57.1314274283428,151.18200951171406,113.66617790706258,113.4195750300626,119.73303637676612,139.34130758680286,110.01818031580054,78.8416133777081,147.70240350109404,80.7465169527454,100.67770358922576,148.45874847916508,114.78675881825394,105.33755265810954,91.52048950918041,78.12809993849844,141.7603611733548,107.07007051459338,151.04966070799364,91.52048950918041,160.79800993793424
k_step_v2 -a:k 1,984.18,996.1300000000001,52,1066.52,434.95,1307.57,1760.55,698.28,1325.28,1748.65,1014.5999999999999,1089.57,1145.21,982.01,1045.6999999999998,1153.1,920.7399999999999,573.7900000000001,639.78,1083.71,1010.2500000000001,953.1,1456.33,736.53,772.22,886.75,805.6,642.92,750.1,1013.32,1225.4699999999998,519.8,763.0
k_step_v2 -a:k 2,1275.3273333333334,1232.915,66,1519.8099999999997,868.97,1606.52,2254.92,842.54,1471.2800000000002,1908.36,1192.15,1192.26,1455.07,862.22,1108.81,1235.82,1042.81,1633.7400000000002,861.0900000000001,1465.4199999999998,1230.01,915.52,1747.96,1031.63,1145.5900000000001,1240.1200000000001,1826.42,698.44,1288.76,1029.99,1241.7600000000002,1294.04,1047.79
k_step_v2 -a:k 3,1450.1656666666665,1426.11,98,1960.5900000000001,1201.1100000000001,590.68,1948.9400000000003,1152.12,1597.9,2131.0,1836.36,1586.08,1652.88,1106.58,1340.82,1299.08,1301.27,1144.53,993.6799999999998,1495.9699999999998,1516.2400000000002,1537.23,2269.44,1751.0500000000002,1302.85,1560.57,1495.51,1353.74,985.4000000000001,1317.98,1756.99,961.67,1356.7099999999998
all_in_cluster -a:maxd 120 -a:minp 2,1557.284,1457.98,54,1583.3,1634.6299999999999,1437.94,2895.6000000000004,1305.3899999999999,3116.85,1454.6100000000001,1461.35,1960.9,2160.91,1503.61,1482.9099999999999,1821.08,1315.1999999999998,1692.3600000000001,755.82,1242.55,1419.8200000000002,1355.0100000000002,1859.53,960.48,984.9499999999999,1427.5,2189.09,1696.1799999999998,1052.76,741.61,1911.62,1260.0,1034.96
greedy_priority,1053.4293333333335,991.6500000000001,80,1092.75,1172.03,1862.62,2713.9300000000003,516.99,1801.2000000000003,1254.82,1156.02,829.8000000000001,1569.4,626.4300000000001,940.4100000000001,1042.89,1397.6399999999999,327.59000000000003,619.8,1237.05,1253.09,749.6500000000001,2219.37,638.39,331.97,889.36,1230.49,692.86,317.28999999999996,681.88,1252.35,587.88,596.9300000000001
gravitational_search,937.1616666666666,782.4449999999999,259,1036.67,722.7,1835.4099999999999,1494.51,507.63999999999993,1887.88,1247.55,1081.05,860.77,1374.75,611.65,799.4499999999999,1108.84,1361.42,327.59000000000003,502.98,765.4399999999999,1128.3999999999999,687.46,2113.8199999999997,551.35,331.97,749.64,1212.8,534.02,317.28999999999996,666.96,1036.22,661.6899999999999,596.9300000000001
onion_search_hamilton -a:cnum 2,500.5493333333334,397.735,50,531.1,64.26,945.1800000000001,1348.5,0.0,2034.48,719.42,815.36,769.08,188.19,541.91,0.0,1057.5,524.12,0.0,0.0,0.0,191.59,0.0,1678.3899999999999,623.8100000000001,0.0,271.35,952.89,0.0,0.0,0.0,1209.45,0.0,549.9
onion_search_hamilton -a:cnum 4,509.99199999999996,437.64,58,482.35999999999996,190.74,945.1800000000001,1148.97,0.0,1634.5100000000002,771.27,815.36,766.53,469.2,406.08,0.0,879.3000000000001,319.84,0.0,0.0,0.0,1574.86,0.0,1626.31,623.8100000000001,0.0,567.0,931.8199999999999,0.0,0.0,0.0,848.64,0.0,297.97999999999996
onion_search_heuristic -a:cnum 2,498.8453333333334,397.735,52,531.1,64.26,945.1800000000001,1348.5,0.0,2034.48,719.42,815.36,769.08,188.19,541.91,0.0,1050.3,524.12,0.0,0.0,0.0,191.59,0.0,1634.47,623.8100000000001,0.0,271.35,952.89,0.0,0.0,0.0,1209.45,0.0,549.9
onion_search_heuristic -a:cnum 4,525.972,362.96,76,734.61,190.74,945.1800000000001,2491.8599999999997,0.0,1656.67,771.27,815.36,766.53,469.2,406.08,0.0,866.7,319.84,0.0,0.0,0.0,191.59,0.0,1626.31,623.8100000000001,0.0,567.0,1189.79,0.0,0.0,0.0,848.64,0.0,297.97999999999996


vn5wn0cf0cn0st100600p5:5000,Average,Median,Average runtime,vn5wn0cf0cn0st100600p5_0,vn5wn0cf0cn0st100600p5_1,vn5wn0cf0cn0st100600p5_2,vn5wn0cf0cn0st100600p5_3,vn5wn0cf0cn0st100600p5_4,vn5wn0cf0cn0st100600p5_5,vn5wn0cf0cn0st100600p5_6,vn5wn0cf0cn0st100600p5_7,vn5wn0cf0cn0st100600p5_8,vn5wn0cf0cn0st100600p5_9,vn5wn0cf0cn0st100600p5_10,vn5wn0cf0cn0st100600p5_11,vn5wn0cf0cn0st100600p5_12,vn5wn0cf0cn0st100600p5_13,vn5wn0cf0cn0st100600p5_14,vn5wn0cf0cn0st100600p5_15,vn5wn0cf0cn0st100600p5_16,vn5wn0cf0cn0st100600p5_17,vn5wn0cf0cn0st100600p5_18,vn5wn0cf0cn0st100600p5_19,vn5wn0cf0cn0st100600p5_20,vn5wn0cf0cn0st100600p5_21,vn5wn0cf0cn0st100600p5_22,vn5wn0cf0cn0st100600p5_23,vn5wn0cf0cn0st100600p5_24,vn5wn0cf0cn0st100600p5_25,vn5wn0cf0cn0st100600p5_26,vn5wn0cf0cn0st100600p5_27,vn5wn0cf0cn0st100600p5_28,vn5wn0cf0cn0st100600p5_29
Entropy,,,,1.0,0.8277293767706428,1.0,0.8277293767706428,0.8277293767706428,0.8277293767706428,1.0,0.8277293767706428,1.0,0.8277293767706428,0.8277293767706428,0.8277293767706428,1.0,1.0,0.8277293767706428,0.8277293767706428,1.0,1.0,0.8277293767706428,1.0,1.0,1.0,1.0,0.6554587535412855,1.0,0.4181656600790516,1.0,0.8277293767706428,1.0,0.6554587535412855
p_sd,,,,0.14934523762075574,0.12812493902437572,0.19057806799314553,0.14164744967700618,0.1277497553813705,0.09583318840568751,0.13948476619330152,0.10400000000000001,0.06248199740725323,0.11620671237067162,0.1499866660740214,0.14499655168313486,0.13937001112147476,0.0795989949685296,0.10777754868245983,0.15879546593023366,0.13833293172632466,0.12328828005937952,0.1356465996625054,0.1292439553712281,0.10613199329137281,0.11496086290559929,0.1631686244349691,0.1852997571504075,0.052153619241621194,0.13879481258317977,0.14108153670838716,0.11523888232710348,0.1061319932913728,0.09243376006633074
st_sd,,,,195.71407716360108,152.13152204589292,117.74548823628021,173.73543104387198,131.057239403247,76.57675887630658,32.0,148.13507349712964,102.09799214480175,77.56287771866127,154.5833108715168,87.95453370918409,123.61229712289955,100.47885349664377,113.24310133513653,80.84553172563095,67.11184694225007,110.01818031580054,174.28711943227475,138.21722034536796,104.0,141.33647795243803,44.45222154178574,140.48487463068756,148.10806865258894,98.79271228182775,68.2934843158555,149.85326155943352,57.758116312774604,114.9956520917204
k_step_v2 -a:k 1,1008.4776666666666,891.9749999999999,51,1618.82,1570.3700000000001,966.1,751.1300000000001,510.91,2419.86,856.3,451.02,933.3,682.87,2078.91,225.32,992.5999999999999,874.25,858.88,403.64000000000004,501.22999999999996,1325.4,1081.1100000000001,910.06,857.98,1282.21,379.97999999999996,1232.9800000000002,2020.7500000000005,902.26,548.0,881.6899999999999,1457.5,678.9
k_step_v2 -a:k 2,1211.3380000000002,1135.79,62,2129.0499999999997,1273.46,1162.99,1399.5100000000002,966.7199999999999,2407.55,872.77,909.24,1108.5900000000001,1074.3,1777.6799999999998,441.94,1303.9199999999998,950.6700000000001,654.9200000000001,463.49,920.5899999999999,1892.26,1044.4899999999998,1666.0,699.4300000000001,1424.24,1437.4099999999999,1376.25,1969.1399999999999,1434.94,857.4799999999999,1479.58,399.73,841.8
k_step_v2 -a:k 3,1467.0856666666668,1477.235,93,1856.0099999999998,1974.67,1757.45,1339.0900000000001,1464.74,1754.1399999999999,1458.71,1252.51,1434.65,1005.5,1762.1399999999999,671.9300000000001,1380.92,1584.74,598.73,1085.03,815.3499999999999,977.51,1566.44,1696.1999999999998,803.9200000000001,1429.58,998.3199999999999,1740.5600000000002,2234.07,2135.5699999999997,1773.76,1789.85,2180.75,1489.7299999999998
all_in_cluster -a:maxd 120 -a:minp 2,1673.4153333333334,1649.1549999999997,57,2775.6299999999997,1598.52,1492.36,2043.87,1589.9099999999999,2276.74,1733.51,1017.6300000000001,1529.4899999999998,1450.44,2464.41,176.25,1582.53,1769.56,2034.57,732.5,986.8599999999999,2170.02,2043.85,2018.1,1103.26,1993.66,2368.64,986.47,3240.4700000000003,488.53,1621.6499999999999,1676.6599999999999,2434.73,801.6399999999999
greedy_priority,1047.8093333333334,1040.55,80,1966.14,1433.3,444.4,453.25,739.3000000000001,2850.66,1371.09,245.87000000000003,394.09,1041.8999999999999,1534.2299999999998,179.44,599.74,1039.2,451.16999999999996,347.74999999999994,590.32,1273.31,1275.5,1070.7800000000002,485.01,1224.89,981.6800000000001,1160.4299999999998,3297.67,1081.6899999999998,506.34,1397.0700000000002,1197.22,800.8399999999999
gravitational_search,961.8419999999999,852.21,263,1770.4699999999998,1478.6200000000001,444.4,433.52,693.7900000000001,2630.86,1371.09,245.87000000000003,424.59000000000003,813.4100000000001,1328.99,179.44,473.1099999999999,790.27,451.59000000000003,347.74999999999994,383.3,1273.31,934.0299999999999,1150.9,485.01,1025.36,1139.38,918.43,2875.06,891.01,444.96000000000004,1397.0700000000002,1278.44,781.2299999999999
onion_search_hamilton -a:cnum 2,548.56,69.99499999999999,50,1292.2,935.71,113.14999999999999,727.35,268.47,1197.07,0.0,0.0,0.0,0.0,1460.38,0.0,0.0,0.0,26.84,0.0,0.0,1275.6599999999999,1834.46,1176.27,0.0,1180.8,0.0,339.3,3287.52,0.0,0.0,763.68,577.9399999999999,0.0
onion_search_hamilton -a:cnum 4,495.67966666666666,268.85,57,1274.45,878.01,113.14999999999999,730.08,144.67,1290.24,0.0,0.0,0.0,0.0,854.66,0.0,246.23999999999998,291.46000000000004,26.84,0.0,0.0,1210.6799999999998,1791.29,933.04,0.0,1132.98,198.45,339.3,1813.78,423.5,0.0,698.3199999999999,479.25,0.0
onion_search_heuristic -a:cnum 2,550.8340000000001,69.99499999999999,50,1292.2,935.71,113.14999999999999,750.13,268.47,1197.07,0.0,0.0,0.0,0.0,1521.6,0.0,0.0,0.0,26.84,0.0,0.0,1234.05,1834.46,1202.1,0.0,1180.8,0.0,339.3,3287.52,0.0,0.0,763.68,577.9399999999999,0.0
