vn10wn3cf0cn0st300500p1:5000,Average,Median,Average runtime,vn10wn3cf0cn0st300500p1_0,vn10wn3cf0cn0st300500p1_1,vn10wn3cf0cn0st300500p1_2,vn10wn3cf0cn0st300500p1_3,vn10wn3cf0cn0st300500p1_4,vn10wn3cf0cn0st300500p1_5,vn10wn3cf0cn0st300500p1_6,vn10wn3cf0cn0st300500p1_7,vn10wn3cf0cn0st300500p1_8,vn10wn3cf0cn0st300500p1_9,vn10wn3cf0cn0st300500p1_10,vn10wn3cf0cn0st300500p1_11,vn10wn3cf0cn0st300500p1_12,vn10wn3cf0cn0st300500p1_13,vn10wn3cf0cn0st300500p1_14,vn10wn3cf0cn0st300500p1_15,vn10wn3cf0cn0st300500p1_16,vn10wn3cf0cn0st300500p1_17,vn10wn3cf0cn0st300500p1_18,vn10wn3cf0cn0st300500p1_19,vn10wn3cf0cn0st300500p1_20,vn10wn3cf0cn0st300500p1_21,vn10wn3cf0cn0st300500p1_22,vn10wn3cf0cn0st300500p1_23,vn10wn3cf0cn0st300500p1_24,vn10wn3cf0cn0st300500p1_25,vn10wn3cf0cn0st300500p1_26,vn10wn3cf0cn0st300500p1_27,vn10wn3cf0cn0st300500p1_28,vn10wn3cf0cn0st300500p1_29
Entropy,,,,0.7966576244513051,0.6989700043360187,0.9397940008672037,0.7137272471682026,0.796657624451305,0.7364516253185087,0.7966576244513051,0.7364516253185087,0.7966576244513051,0.6387640052032225,0.8795880017344074,0.7364516253185088,0.6505149978319905,0.796657624451305,0.8568636235841012,0.7966576244513051,0.8795880017344074,0.7966576244513051,0.8795880017344074,0.8568636235841012,0.796657624451305,0.8193820026016112,0.8795880017344074,0.6505149978319906,0.9999999999999999,0.8795880017344074,0.8193820026016112,0.7966576244513051,0.7364516253185087,0.7364516253185087
p_sd,,,,0.028913664589601932,0.028354893757515653,0.022715633383201095,0.02374868417407584,0.032496153618543855,0.016613247725836167,0.025377155080899064,0.026000000000000013,0.026000000000000002,0.022271057451320107,0.030983866769659352,0.02227105745132011,0.027495454169735055,0.02271563338320111,0.032310988842807024,0.028913664589601925,0.027129319932501086,0.02408318915758461,0.02529822128134704,0.028913664589601932,0.026532998322843206,0.025377155080899046,0.02039607805437114,0.028284271247461905,0.028000000000000008,0.029393876913398148,0.026000000000000002,0.021908902300206652,0.03231098884280703,0.030265491900843124
st_sd,,,,163.75591592366976,130.91982279242512,173.2743489383238,152.7121475194426,205.23401277566055,159.31415505221122,200.73863604199366,219.14607000811125,157.44522857171634,176.8304272459918,182.48561587149823,180.83417818543043,183.31666590902202,95.1892851112981,112.8228700219951,166.12043823684067,160.49922118191103,169.0591612424479,116.29273408085305,172.05812971202494,166.3249830903343,162.4222891108237,179.00837969212503,197.13954448562572,161.8919392681427,167.69317219254933,168.53782958137322,182.2333668678708,129.46041866145808,185.33483212823216
k_step_v2 -a:k 1,11244.111666666666,11318.01,1413,10947.02,10789.22,12233.939999999999,13470.810000000001,15061.13,14125.739999999998,11857.01,12404.37,6614.740000000001,9028.94,11414.42,9347.650000000001,8923.08,13290.57,12112.2,13975.460000000003,7832.64,8634.990000000002,14595.23,12802.490000000002,10247.04,14212.179999999998,11583.040000000003,10331.06,9561.44,11221.6,11200.04,12157.39,6406.8,10941.109999999999
k_step_v2 -a:k 2,10687.078666666668,10987.875,1410,10891.599999999999,10795.330000000002,11862.08,12160.21,12903.86,13544.57,11972.190000000002,12032.31,5894.65,7203.639999999999,12197.130000000001,8090.180000000001,7949.23,12331.539999999999,11194.63,14019.37,7871.459999999999,8217.21,13155.430000000002,12833.269999999999,10565.720000000001,14217.770000000004,10465.429999999998,9580.89,8819.630000000001,9773.03,11084.15,12504.479999999998,6204.32,10277.05
k_step_v2 -a:k 3,9859.149666666666,10006.954999999998,2036,9138.62,10354.21,11205.539999999999,11483.829999999998,13005.480000000001,12572.96,11786.32,10908.91,5038.050000000001,6908.020000000001,10988.929999999998,7582.92,7983.93,11477.810000000001,9676.83,14704.09,7134.49,7871.1900000000005,12545.79,9671.569999999998,7053.2300000000005,13500.550000000001,10118.229999999998,9372.019999999999,7764.5,10065.539999999999,9905.32,10748.47,5258.77,9948.369999999999
all_in_cluster -a:maxd 120 -a:minp 2,12359.193000000003,12443.085,1129,15000.28,11649.850000000002,14242.859999999999,13589.33,17145.62,16336.21,11850.990000000002,11369.519999999999,6677.5,8603.91,14142.64,6813.320000000001,8747.99,14780.92,12412.73,15687.66,7879.67,10268.75,15360.59,15789.060000000001,10254.829999999998,15064.25,12135.45,10487.21,11583.779999999999,12473.439999999999,15001.82,14837.96,8089.89,12497.759999999998
greedy_priority,15684.093333333332,16187.580000000002,1458,17341.01,14903.08,16999.85,19009.5,18517.29,18636.04,18113.100000000002,16075.49,10734.27,11653.479999999998,16548.66,14523.72,13786.75,17871.32,16494.390000000003,18380.36,11323.22,14062.64,17768.28,16641.43,13258.38,18072.98,15046.439999999999,15919.78,13888.07,15693.73,16299.670000000002,17837.77,10018.119999999999,15103.980000000001
gravitational_search,10553.038,10814.68,10329,10868.650000000003,10854.669999999998,12787.79,12136.0,12601.529999999999,14331.609999999999,13818.86,11557.38,5784.3099999999995,6861.45,10913.849999999999,8592.56,8522.460000000001,12242.86,9298.460000000001,14943.820000000002,7405.05,8063.51,13757.179999999998,9398.68,8966.35,13455.03,10554.22,9936.6,8710.42,11716.81,10774.69,10859.46,6365.86,10511.02
onion_search_hamilton -a:cnum 2,9628.616333333333,9947.435,1187,8763.15,11805.269999999999,12159.01,10906.999999999998,11520.449999999999,14025.130000000001,11878.840000000002,9588.2,4951.0599999999995,6074.150000000001,9461.140000000001,5435.79,6277.780000000001,13348.61,10116.9,14557.280000000002,7160.429999999999,6397.02,13068.659999999998,10596.33,6696.609999999999,13392.24,9777.97,7926.15,8450.84,9612.15,10627.0,10257.15,2777.49,11248.69
onion_search_hamilton -a:cnum 4,9379.280666666666,9022.415,1176,7767.37,11214.12,12690.96,11068.159999999998,11503.52,12511.119999999997,11378.45,8880.130000000001,4136.0599999999995,7405.729999999999,11352.78,6982.47,7280.910000000001,11792.24,9010.050000000001,14692.94,7193.1900000000005,6893.1900000000005,12435.49,8109.450000000001,6589.35,12845.119999999999,8651.49,7643.98,7439.959999999999,9034.779999999999,9900.22,11790.130000000001,3535.7900000000004,9649.269999999999
